"CUSTOMER_SK","products_bought","uniq_products_bought","total_spending","visit_no","average_spending"
"34917312","669","331","2342.35967","35","66.92"
"58650481","653","281","2340.74955","42","55.73"
"21688304","826","392","2338.84975","88","26.58"
"58983522","657","350","2333.06964","60","38.88"
"21015957","572","335","2327.13930","10","232.71"
"59618282","631","310","2323.92988","18","129.11"
"22848790","624","281","2322.38966","55","42.23"
"25763791","575","352","2321.49952","45","51.59"
"51288842","592","361","2318.01977","62","37.39"
"59567857","641","148","2316.59941","44","52.65"
"61786992","858","141","2312.64949","94","24.60"
"28665932","628","270","2310.46969","37","62.45"
"21155118","710","258","2304.19979","117","19.69"
"58258258","649","242","2303.86959","65","35.44"
"53712438","600","322","2302.37954","29","79.39"
"58338206","642","337","2299.45981","30","76.65"
"59609429","566","216","2296.92956","56","41.02"
"40173104","469","147","2295.53955","18","127.53"
"59080575","631","296","2294.09965","67","34.24"
"22746387","511","257","2291.31962","34","67.39"
"60915693","623","359","2282.97963","38","60.08"
"28181258","744","340","2282.96981","57","40.05"
"60674740","649","203","2282.62968","27","84.54"
"62370973","665","290","2277.74961","36","63.27"
"20771796","598","340","2276.27961","35","65.04"
"59984800","613","234","2267.43970","80","28.34"
"58304871","698","290","2261.93953","58","39.00"
"60451034","642","198","2253.06964","30","75.10"
"39307935","614","296","2250.92947","16","140.68"
"58997375","611","297","2249.86968","47","47.87"
"22211953","628","275","2247.36965","66","34.05"
"59016692","622","297","2244.75961","53","42.35"
"58910536","642","299","2243.34968","30","74.78"
"22114727","648","351","2243.28965","19","118.07"
"60616860","643","289","2237.98968","19","117.79"
"22208939","618","265","2225.12967","28","79.47"
"62396030","605","289","2224.42963","42","52.96"
"21432198","549","242","2224.25966","60","37.07"
"37702347","639","257","2220.49971","56","39.65"
"22284372","751","263","2220.48943","25","88.82"
"39649111","573","391","2219.56973","25","88.78"
"58870891","797","398","2219.11995","130","17.07"
"53325366","751","299","2218.29970","42","52.82"
"58353292","614","208","2211.31982","52","42.53"
"59087787","571","248","2206.89943","32","68.97"
"61353661","918","233","2199.26975","59","37.28"
"59981468","622","251","2197.49976","96","22.89"
"20788623","584","229","2196.19965","41","53.57"
"60549933","763","298","2191.94958","39","56.20"
"37143504","605","154","2190.39973","21","104.30"
"39745841","583","178","2186.44980","24","91.10"
"59026858","568","385","2181.84958","33","66.12"
"58872376","625","279","2178.10962","51","42.71"
"59567703","1105","267","2177.24989","120","18.14"
"21384385","509","275","2175.34968","21","103.59"
"58642267","635","245","2174.98975","119","18.28"
"31829264","953","193","2173.32875","27","80.49"
"58889707","574","176","2172.82940","23","94.47"
"59427891","554","207","2160.71949","42","51.45"
"58246473","551","320","2158.97971","10","215.90"
"20697030","574","271","2153.50957","23","93.63"
"23352695","652","252","2152.05971","44","48.91"
"20660110","746","295","2146.77983","34","63.14"
"58528520","564","302","2145.34934","19","112.91"
"23717387","542","133","2143.30950","52","41.22"
"59504641","622","271","2140.88968","33","64.88"
"59003455","504","265","2138.05955","35","61.09"
"22351989","632","214","2133.17976","31","68.81"
"35094805","743","407","2132.28998","89","23.96"
"59428206","660","280","2129.24954","90","23.66"
"37632766","519","270","2124.48958","22","96.57"
"20846015","590","369","2124.12972","15","141.61"
"39617406","520","301","2123.03972","11","193.00"
"21155028","688","273","2122.70964","26","81.64"
"23748348","624","325","2117.04985","61","34.71"
"23777359","580","202","2116.86931","10","211.69"
"61809069","615","84","2111.75974","52","40.61"
"60615674","819","359","2106.95990","145","14.53"
"39356029","640","271","2103.29960","38","55.35"
"40167740","580","236","2102.34953","21","100.11"
"21431603","573","278","2100.85959","45","46.69"
"58489862","572","321","2099.98957","28","75.00"
"58380722","691","324","2098.27994","24","87.43"
"22473505","496","198","2088.98949","86","24.29"
"58872751","599","286","2086.32980","72","28.98"
"59646387","591","324","2085.42972","16","130.34"
"59428165","623","317","2083.78967","29","71.85"
"40046066","602","263","2082.38989","27","77.13"
"59485466","630","193","2082.28974","42","49.58"
"20784710","554","294","2082.02967","21","99.14"
"59578253","691","365","2078.24983","31","67.04"
"58880483","559","315","2077.83976","26","79.92"
"38864422","804","422","2075.25973","102","20.35"
"20802419","568","191","2068.28981","48","43.09"
"59618368","504","234","2067.96962","23","89.91"
"59504650","734","256","2067.51956","40","51.69"
"60984659","537","374","2067.16968","38","54.40"
"58358135","492","244","2067.02949","52","39.75"
"22203725","494","257","2066.55952","67","30.84"
"22288611","607","185","2066.22952","79","26.15"
"23182448","567","245","2066.12975","33","62.61"
"22114222","621","343","2064.06968","27","76.45"
"40173100","557","305","2063.21979","21","98.25"
"60524342","611","168","2061.92975","63","32.73"
"22113293","746","242","2061.81968","111","18.57"
"59830917","505","197","2060.93951","49","42.06"
"22288083","651","287","2060.42972","65","31.70"
"22208951","749","290","2059.65955","38","54.20"
"59027377","562","339","2057.60969","36","57.16"
"20968252","613","334","2056.60982","22","93.48"
"29926497","660","383","2054.97978","34","60.44"
"22843658","526","239","2053.63974","79","26.00"
"59427889","736","309","2051.18996","91","22.54"
"36352584","751","373","2048.58988","108","18.97"
"51032169","527","183","2041.00958","30","68.03"
"22208959","633","258","2040.50955","18","113.36"
"38981467","590","253","2035.17969","58","35.09"
"28665663","642","277","2034.06963","39","52.16"
"58645614","667","275","2033.75965","97","20.97"
"59427035","751","237","2031.68961","115","17.67"
"22288093","566","128","2031.54950","27","75.24"
"59579353","606","226","2030.15982","54","37.60"
"23791664","579","184","2029.88962","31","65.48"
"59427924","841","322","2028.75982","187","10.85"
"58425257","527","251","2028.07953","41","49.47"
"22114378","710","291","2025.28988","86","23.55"
"59567717","475","234","2022.22950","26","77.78"
"58337779","515","288","2021.66968","9","224.63"
"62615702","805","255","2019.07949","48","42.06"
"39450222","488","253","2018.90964","56","36.05"
"20784444","573","252","2012.92970","14","143.78"
"59086636","606","264","2012.08988","92","21.87"
"22131525","782","281","2010.17992","101","19.90"
"39622051","516","218","2010.05965","34","59.12"
"60547813","515","262","2007.20969","34","59.04"
"22318684","547","308","2004.51962","90","22.27"
"36785532","617","446","2003.26982","93","21.54"
"20799844","688","230","2002.63991","29","69.06"
"37057354","489","209","2000.39984","40","50.01"
"60613178","530","125","1999.46948","50","39.99"
"59651716","630","294","1996.03989","59","33.83"
"20789485","507","197","1992.07928","20","99.60"
"59504655","566","250","1989.76960","19","104.72"
"58872306","520","250","1989.34952","46","43.25"
"65310916","579","209","1985.74970","125","15.89"
"62374273","504","255","1984.58964","67","29.62"
"22207323","588","224","1974.25987","43","45.91"
"52634309","585","377","1969.35983","26","75.74"
"58833348","572","145","1967.87977","52","37.84"
"21441097","646","249","1967.23976","51","38.57"
"58502082","662","253","1963.28978","91","21.57"
"58872897","497","218","1961.76971","59","33.25"
"21577503","507","283","1961.56969","39","50.30"
"40052217","487","245","1960.90977","74","26.50"
"58428440","546","266","1958.79955","19","103.09"
"61978529","610","276","1958.16001","33","59.34"
"22284349","529","324","1957.84975","22","88.99"
"39356203","851","456","1956.32998","101","19.37"
"39819616","519","263","1946.03968","16","121.63"
"21692464","501","237","1944.96971","29","67.07"
"22351981","525","248","1944.87994","14","138.92"
"59914051","758","248","1944.66995","114","17.06"
"59428166","542","320","1943.70974","38","51.15"
"21161644","610","283","1942.81971","31","62.67"
"21232652","493","92","1941.71978","27","71.92"
"21273617","1521","58","1941.63828","18","107.87"
"59489003","517","266","1940.91958","36","53.91"
"22964956","650","279","1936.13953","30","64.54"
"59041668","691","315","1934.81986","242","8.00"
"20947933","468","280","1932.35975","30","64.41"
"20755175","671","176","1931.01992","34","56.79"
"21127061","542","279","1930.14972","47","41.07"
"62512800","542","158","1928.53975","44","43.83"
"22301205","559","274","1926.15977","18","107.01"
"22114381","526","193","1923.51960","34","56.57"
"22985887","438","238","1921.79963","23","83.56"
"62339574","482","279","1916.36963","87","22.03"
"21432110","539","294","1916.24965","31","61.81"
"35076749","591","211","1910.26981","43","44.42"
"58833257","491","281","1909.06978","18","106.06"
"58741080","550","291","1906.10989","25","76.24"
"58895440","576","235","1905.45970","37","51.50"
"63944816","710","392","1902.26988","77","24.70"
"60228583","599","357","1899.39990","52","36.53"
"21688941","519","258","1897.38970","26","72.98"
"28172236","524","271","1896.65959","43","44.11"
"20783969","508","261","1895.84979","15","126.39"
"58313027","698","167","1894.87989","36","52.64"
"59026928","692","368","1891.80988","76","24.89"
"64151004","439","195","1890.23946","24","78.76"
"59772586","660","126","1887.77952","70","26.97"
"21699909","585","243","1886.66990","81","23.29"
"21384489","528","142","1884.89980","39","48.33"
"58614163","730","297","1883.70981","43","43.81"
"59809290","555","298","1880.23993","66","28.49"
"22615697","595","317","1880.14990","52","36.16"
"37383984","613","301","1879.90985","64","29.37"
"59567850","580","268","1879.76990","67","28.06"
"58755459","418","194","1879.25961","25","75.17"
"58730772","524","314","1878.14964","23","81.66"
"53130748","594","361","1877.81980","32","58.68"
"58232219","555","217","1875.88953","72","26.05"
"60299979","453","232","1872.53970","42","44.58"
"60997170","481","250","1872.23974","42","44.58"
"21429920","632","341","1871.36994","93","20.12"
"40174216","508","163","1869.31977","47","39.77"
"51843234","511","239","1868.17963","34","54.95"
"21167621","546","347","1867.49974","33","56.59"
"58910528","494","175","1866.00983","55","33.93"
"21270530","558","302","1865.79991","22","84.81"
"61807629","506","203","1865.32964","32","58.29"
"20732494","566","278","1864.92978","31","60.16"
"31919946","572","150","1864.67968","40","46.62"
"61872196","451","259","1864.60964","24","77.69"
"58890024","531","262","1861.37970","27","68.94"
"28310674","718","228","1856.41987","63","29.47"
"62520084","435","213","1854.30980","87","21.31"
"59012917","553","240","1853.75978","74","25.05"
"52997126","642","370","1852.48991","107","17.31"
"22752008","775","237","1851.83990","103","17.98"
"59744561","593","311","1851.65983","58","31.93"
"22114746","503","316","1848.20986","24","77.01"
"60007125","628","160","1846.56987","150","12.31"
"61453445","651","196","1846.35973","25","73.85"
"22185191","550","172","1846.00982","37","49.89"
"59810692","646","241","1844.92978","44","41.93"
"38875516","553","230","1844.33974","23","80.19"
"52884223","592","261","1843.69997","28","65.85"
"58647934","592","271","1843.43975","28","65.84"
"58639014","572","311","1843.27984","33","55.86"
"39425711","504","285","1840.24975","77","23.90"
"21329954","411","244","1839.08971","22","83.59"
"22211615","521","191","1836.27957","39","47.08"
"59019400","516","286","1834.25981","85","21.58"
"39354169","540","239","1832.73978","32","57.27"
"59502896","572","212","1831.47960","21","87.21"
"41531987","491","336","1830.36974","51","35.89"
"41509991","504","259","1829.95990","17","107.64"
"22287890","814","213","1826.83988","88","20.76"
"62341505","370","126","1826.45960","16","114.15"
"58705512","657","354","1826.28980","87","20.99"
"31746197","620","302","1826.19989","55","33.20"
"23742520","598","361","1826.07980","25","73.04"
"52624918","535","343","1824.15987","60","30.40"
"60416191","518","254","1823.71982","53","34.41"
"39349752","579","306","1823.18986","39","46.75"
"61824154","546","238","1817.47995","91","19.97"
"20982798","578","323","1816.89984","47","38.66"
"59501737","651","214","1816.80975","90","20.19"
"60351280","511","147","1814.64974","23","78.90"
"52035302","529","266","1812.71978","24","75.53"
"22451401","444","219","1809.24959","25","72.37"
"21625134","704","240","1806.14969","50","36.12"
"21630636","469","194","1805.89964","50","36.12"
"59567719","518","145","1805.13962","81","22.29"
"22286346","512","251","1804.97993","20","90.25"
"21567503","521","224","1804.78987","17","106.16"
"39357989","629","262","1802.30992","30","60.08"
"52628986","409","224","1799.48977","49","36.72"
"42476412","778","441","1798.77993","85","21.16"
"59507113","558","274","1798.55986","38","47.33"
"21164677","500","230","1798.40961","39","46.11"
"22566147","586","123","1796.86969","55","32.67"
"36784251","441","273","1795.53974","76","23.63"
"23748375","439","199","1794.96953","18","99.72"
"58987912","510","223","1794.17984","20","89.71"
"20842848","497","286","1790.15975","19","94.22"
"63109943","389","113","1788.63951","45","39.75"
"34927053","773","100","1788.30854","83","21.55"
"21439778","530","363","1788.11976","19","94.11"
"35071976","405","239","1787.67974","11","162.52"
"61045242","707","141","1785.92987","70","25.51"
"20949611","431","197","1785.11962","38","46.98"
"58807562","557","196","1777.84976","27","65.85"
"61290435","568","305","1777.43984","57","31.18"
"58639229","555","248","1777.41974","72","24.69"
"51841511","511","304","1776.77987","48","37.02"
"58642440","481","271","1776.26978","31","57.30"
"59441963","667","267","1773.89992","95","18.67"
"61814650","681","308","1772.41977","71","24.96"
"36512592","418","234","1769.93966","32","55.31"
"61755919","486","191","1767.17967","96","18.41"
"51084146","559","328","1765.65977","73","24.19"
"20921783","508","227","1765.00977","15","117.67"
"37125526","497","87","1764.92982","40","44.12"
"59788688","566","265","1764.32983","56","31.51"
"51389472","515","234","1763.99004","30","58.80"
"28741424","496","257","1762.38969","27","65.27"
"59428846","613","263","1762.32985","35","50.35"
"58789962","381","222","1760.59957","31","56.79"
"39652421","407","157","1757.30945","19","92.49"
"60816995","473","253","1756.27982","53","33.14"
"22844597","473","165","1755.48955","31","56.63"
"26306410","468","304","1754.70965","15","116.98"
"58338197","522","250","1754.34974","19","92.33"
"62676750","474","248","1753.45977","105","16.70"
"58638337","563","289","1753.15971","50","35.06"
"58839759","492","238","1751.78957","42","41.71"
"22301194","573","324","1750.26989","27","64.82"
"22609804","541","273","1748.91970","36","48.58"
"60575842","440","103","1747.56997","35","49.93"
"58294441","501","273","1747.01975","31","56.36"
"39000445","472","194","1746.69989","13","134.36"
"58383341","506","262","1746.22975","20","87.31"
"60943606","427","199","1743.81956","20","87.19"
"21381706","462","241","1743.62972","25","69.75"
"21440894","452","274","1743.03980","20","87.15"
"21603050","593","242","1742.85986","63","27.66"
"20900176","426","210","1742.63965","32","54.46"
"58265434","488","254","1741.50967","9","193.50"
"22340716","416","161","1738.11951","39","44.57"
"60071794","480","272","1737.67963","35","49.65"
"37380276","564","250","1737.12998","81","21.45"
"61787691","459","251","1736.93983","43","40.39"
"62335036","542","232","1736.81998","18","96.49"
"28859647","507","164","1735.02946","45","38.56"
"29934093","489","208","1733.45956","62","27.96"
"58814824","563","250","1732.03977","41","42.24"
"62617371","465","233","1731.91990","39","44.41"
"39631791","454","232","1731.79966","53","32.68"
"59568271","475","151","1731.44963","75","23.09"
"21598434","508","194","1730.98966","19","91.10"
"59919127","456","266","1728.80967","69","25.06"
"58810237","479","190","1728.09982","53","32.61"
"40121353","472","165","1727.80980","15","115.19"
"22595068","402","115","1727.59954","21","82.27"
"34919532","558","353","1727.52986","47","36.76"
"39650200","444","260","1724.43974","41","42.06"
"58892513","518","201","1721.11979","41","41.98"
"37731962","528","183","1720.86980","38","45.29"
"62355275","458","219","1718.24974","29","59.25"
"20811625","460","214","1716.65971","16","107.29"
"64804208","568","287","1714.85997","35","49.00"
"40045752","593","281","1711.94991","51","33.57"
"59567676","566","197","1708.35993","131","13.04"
"23179654","566","290","1707.53994","44","38.81"
"60523385","585","117","1706.76981","84","20.32"
"60996390","616","247","1706.33981","60","28.44"
"60641227","519","266","1705.70985","70","24.37"
"60553551","448","250","1705.05972","26","65.58"
"21151391","612","297","1703.67990","32","53.24"
"59579360","481","204","1702.55993","23","74.02"
"22760111","460","182","1700.84979","29","58.65"
"34816717","639","157","1700.66979","23","73.94"
"59804783","546","283","1700.05981","37","45.95"
"37062722","618","247","1696.51973","205","8.28"
"58279511","548","299","1693.59984","60","28.23"
"22185178","395","204","1693.40969","14","120.96"
"21637630","633","318","1692.76995","207","8.18"
"21458111","523","236","1691.97970","33","51.27"
"23654583","520","179","1691.44980","43","39.34"
"21352079","455","193","1690.27981","28","60.37"
"21567516","563","238","1689.27963","66","25.60"
"61349461","421","164","1687.90979","39","43.28"
"25221181","456","260","1686.95979","52","32.44"
"29354169","398","228","1685.92974","37","45.57"
"21702815","482","262","1683.14969","100","16.83"
"58642220","517","240","1682.75964","39","43.15"
"20887638","454","200","1678.20970","25","67.13"
"58470022","519","278","1677.91978","43","39.02"
"21607650","471","236","1673.22969","45","37.18"
"21355393","461","180","1673.15974","43","38.91"
"23642931","508","288","1672.98970","17","98.41"
"59489017","497","222","1669.51997","33","50.59"
"61018459","414","180","1669.34975","22","75.88"
"53661108","427","165","1668.00939","30","55.60"
"22338510","501","233","1667.51984","45","37.06"
"59693562","412","195","1667.36963","26","64.13"
"39537548","430","188","1666.31972","35","47.61"
"58907175","432","251","1663.14970","14","118.80"
"59984689","595","317","1663.05987","55","30.24"
"52620857","465","243","1660.13980","14","118.58"
"59583005","435","156","1659.67986","55","30.18"
"62384714","467","252","1657.95987","21","78.95"
"52236260","412","196","1656.71966","37","44.78"
"58681017","551","263","1656.25959","53","31.25"
"20784457","451","251","1655.85972","22","75.27"
"60484817","496","219","1651.45976","19","86.92"
"58397685","541","205","1648.49993","40","41.21"
"59427771","490","294","1648.22970","30","54.94"
"59425861","577","325","1647.61996","71","23.21"
"59506837","420","240","1645.03971","39","42.18"
"37058303","519","289","1644.99988","17","96.76"
"60331500","569","204","1643.90978","55","29.89"
"52233098","438","240","1641.33982","95","17.28"
"59977416","345","209","1639.64949","17","96.45"
"40042656","633","259","1637.80978","189","8.67"
"58842600","431","226","1637.76970","76","21.55"
"64453353","476","198","1636.69985","87","18.81"
"60484819","393","227","1636.05965","53","30.87"
"58369756","507","248","1635.83000","66","24.79"
"39449903","433","269","1633.86978","56","29.18"
"22111568","524","326","1632.40989","61","26.76"
"36038182","514","333","1629.65989","57","28.59"
"58473493","373","222","1628.99965","27","60.33"
"23604268","475","151","1628.79983","52","31.32"
"25407622","472","227","1628.45976","45","36.19"
"63035305","448","227","1628.08997","32","50.88"
"39536181","600","325","1627.83988","31","52.51"
"59431868","572","226","1625.72988","45","36.13"
"64492018","406","169","1624.06972","44","36.91"
"22308266","435","199","1623.42970","40","40.59"
"20821005","536","254","1621.83992","23","70.51"
"21328881","402","217","1621.47973","9","180.16"
"60415522","420","170","1619.87985","49","33.06"
"23444328","507","260","1619.37982","50","32.39"
"59637196","506","301","1619.36975","70","23.13"
"61153326","608","250","1612.45982","66","24.43"
"58240520","413","276","1611.29981","43","37.47"
"51902158","454","277","1610.71978","27","59.66"
"58316607","418","228","1610.56980","34","47.37"
"61315883","480","210","1609.17983","25","64.37"
"60408874","506","219","1608.28994","35","45.95"
"21566188","473","213","1605.26988","18","89.18"
"39551566","523","321","1605.13994","19","84.48"
"59741274","470","257","1603.07984","35","45.80"
"58910197","409","256","1602.85971","17","94.29"
"39446850","574","382","1601.36988","44","36.39"
"21619883","647","304","1600.88985","58","27.60"
"61695877","463","221","1599.11972","41","39.00"
